Study_day,0,3,5,7,10,14,17,19,21,28,33,35,38,40,42,45,47,49,54,56,61,66,75,89,103,117,122
pH,7.09,7.308333333,7.176666667,7.225,6.856666667,6.99,6.976666667,6.973333333,6.78,6.413333333,6.048333333,6.285,5.998333333,5.851666667,5.99,5.775,5.916666667,5.838333333,6.011666667,6.125,6.19,6.358333333,6.505,5.99,6.178333333,6.313333333,6.075
EC,46.81,49.14666667,66.34166667,54.51666667,119.085,135.6083333,208.5416667,297.7983333,278.1483333,293.15,355.85,266.65,400.4166667,240.9333333,346.4333333,321.7666667,366,434.7,317.2,359.3333333,297.2666667,259.4333333,257.8,387.8666667,318.3833333,455.8833333,266.0583333
Na,2.642123927,4.350598143,8.303020704,6.277019719,18.57485201,23.72826584,102.1632253,107.9595795,138.5388484,111.3631005,188.9415149,131.4902937,213.2272517,128.3652858,145.0725446,190.6062038,140.2911443,174.4881843,157.4927402,197.9398079,169.6775861,135.4471003,152.6291819,187.0081692,184.5744564,232.6959819,168.1029832
K,22.64278434,24.11256331,26.20870008,22.96037282,24.99853094,29.54627676,72.57099748,62.46994416,52.43869533,91.96337706,120.9669316,76.53394606,118.3007993,66.25214246,105.7234707,120.4174788,86.42260241,119.6787112,97.78843016,121.704291,119.1247243,96.67906959,75.82760471,92.24009891,113.6056389,110.5068477,87.31161053
Mg,7.140604946,8.858040395,7.584060623,7.724873671,9.122689243,8.743986918,15.85474221,19.87510119,16.56921702,26.4008162,31.01955253,19.0534898,27.65196595,21.27709446,28.65687182,27.38888206,28.14705756,36.07968679,21.28435032,18.19340853,20.57808893,19.45486567,20.21041256,17.86559647,19.99673021,18.5846265,16.00198359
Ca,90.73540471,119.7395422,97.54944278,98.92620513,122.6734805,119.3932241,194.54567,252.500881,212.7742434,297.071769,331.8175062,211.8027202,302.163868,240.1717647,307.401284,272.2804544,320.849246,400.4542762,246.4823859,164.9378891,189.0754325,185.1789808,209.5942966,179.3990305,175.4228764,175.8879419,154.5649959
Al,9.827028329,9.101928415,9.504791394,9.854726939,6.682034597,7.165881291,6.608870805,4.891663783,4.495994448,1.382014466,2.666014111,4.889041897,5.343328948,3.447010104,2.69075853,3.468969973,4.068944899,3.502601939,5.576130051,14.41575879,13.66174704,5.651423333,11.09665022,25.40893865,58.91818907,39.3301006,40.87638462
Cu,0.040303555,0.043265946,0.046565541,0.037771766,0.039038887,0.043055645,0.073133802,0.063712126,0.04819521,0.050823306,0.068285933,0.074615164,0.080145905,0.059536088,0.070427758,0.075255942,0.059581738,0.075778613,0.08112319,0.121407289,0.098035955,0.082075827,0.083948151,0.10807499,0.129215117,0.190765064,0.159038103
Fe,2.88376239,2.688029681,2.941407496,2.931258799,2.359319462,2.088165886,3.582909996,2.542017383,2.50977039,0.894133887,1.861318078,2.802018936,4.151412869,2.12247117,2.981934697,3.59920832,5.299419428,4.909632129,4.060707769,6.961110105,8.152922121,2.971698779,4.977618495,11.1642422,27.32425505,25.33509193,24.31535325
Mn,0.697681065,0.552356709,0.704922149,0.760768468,0.578719808,0.692018187,1.400042848,3.827929984,4.887315708,17.12886633,27.99161166,14.0054789,33.55266976,25.84760975,41.79621144,30.30346474,35.00357702,62.25032785,21.18049441,27.8423989,23.81423025,20.3841697,39.86022205,27.74902861,13.70073974,20.05458982,15.60750031
Zn,0.044619711,0.036232093,0.039810933,0.043295245,0.031816122,0.03137551,0.049227235,0.422276186,0.057023541,0.123471393,0.126891311,0.159891936,0.178366249,0.106951053,0.13795465,0.16189921,0.131340614,0.223276588,0.072377154,0.180325833,0.139669572,0.105364339,0.150542383,0.151310261,0.425774991,0.493418063,0.224489068
Co,0.00373076,0.004290386,0.005833211,0.005040508,0.00325533,0.005955359,0.022886558,0.012408744,0.007700164,0.019948027,0.04464365,0.033636651,0.060568708,0.039797477,0.096147886,0.084488673,0.072869099,0.159864659,0.072891656,0.13114249,0.109122601,0.059330421,0.093112462,0.115365794,0.103646757,0.535125815,0.237180224
S,7.03815095,6.86765,6.613367892,6.784839999,7.486137011,10.17312013,22.47870631,22.79039895,19.89859656,24.65537492,33.26893859,26.59023572,32.95930289,17.75952285,30.04356065,40.41456208,23.94848768,31.01487599,28.01748039,37.50793232,30.11397933,26.26070492,24.40326976,24.93179807,31.84070437,33.45076643,23.26741516
P,1.061347484,1.019847031,1.159753289,0.924607474,0.583616989,1.178859728,12.31259093,4.566743497,3.744922094,12.81138009,19.8354066,4.095305561,20.68107262,2.875358723,12.80232476,15.69551507,10.14148052,19.44490075,6.532232145,18.91858649,19.40908671,18.0399779,4.296093641,12.02631578,15.27715197,19.6492563,6.641070272
B,0.390055294,0.277558601,0.297349745,0.292172165,0.280880097,0.315262334,0.562090356,0.57679602,0.536377718,0.886263085,0.918689473,0.61746157,0.787051669,0.456952417,0.689919613,0.692423062,0.622960311,0.678164464,0.59059065,0.476721983,0.562317129,0.548606176,0.327938566,0.621701667,0.472329166,0.410401791,0.426300009
Se,0.008714403,0.011175406,0.011059874,0.006580613,0.009925724,0.00622712,0.017127885,0.032836601,0.019232945,0.042379307,0.052295805,0.038636758,0.047479871,0.035008173,0.049791121,0.044186775,0.037078322,0.056464164,0.032954112,0.035980912,0.042721525,0.037459175,0.039309997,0.040931782,0.020269014,0.026685093,0.020856546
